source_record_id,name,gpu_chip,release_date,bus_interface,memory_gb,memory_type,gpu_clock_mhz,memory_clock_mhz,shader_count,tmu_count,rop_count,has_structured_specs,memory_raw,gpu_clock_raw,memory_clock_raw,shader_counts_raw,release_raw,source_dataset
a1cbc6c851458b5b5a4e,Mobility Radeon X1700,M66,2006-02-01,PCIe 1.0 x16,0.25,GDDR3,475.0,400.0,,,,True,"256 MB, GDDR3, 128 bit",475 MHz,400 MHz,12 / 5 / 4 / 4,"Feb 1st, 2006",baraazaid/cpu-and-gpu-stats
f4736fb8102497c923b1,Mobility Radeon X1800,M58,2006-03-01,MXM-III,0.25,GDDR3,450.0,500.0,,,,True,"256 MB, GDDR3, 256 bit",450 MHz,500 MHz,12 / 8 / 12 / 12,"Mar 1st, 2006",baraazaid/cpu-and-gpu-stats
3915b33c50697bf0d58a,Mobility Radeon X1800 XT,M58,2006-03-01,PCIe 1.0 x16,0.25,GDDR3,550.0,650.0,,,,True,"256 MB, GDDR3, 256 bit",550 MHz,650 MHz,16 / 8 / 16 / 16,"Mar 1st, 2006",baraazaid/cpu-and-gpu-stats
5e81f9928444c39913d6,Mobility Radeon X1900,M68,2007-01-11,PCIe 1.0 x16,0.25,GDDR3,400.0,480.0,,,,True,"256 MB, GDDR3, 256 bit",400 MHz,480 MHz,36 / 8 / 12 / 12,"Jan 11th, 2007",baraazaid/cpu-and-gpu-stats
757af37ba4de1f19534d,Mobility Radeon X200 IGP,RS400,2005-01-01,PCIe 1.0 x16,,,300.0,,,,,True,System Shared,300 MHz,System Shared,2 / 2 / 2 / 2,2005,baraazaid/cpu-and-gpu-stats
f737fa69fe5592918192,Mobility Radeon X200 IGP,RS480,2005-01-01,PCIe 1.0 x16,,,300.0,,,,,True,System Shared,300 MHz,System Shared,2 / 2 / 2 / 2,2005,baraazaid/cpu-and-gpu-stats
9d40b4d5b5dcdfd53af6,Mobility Radeon X2300,M64,2007-03-01,PCIe 1.0 x16,0.125,GDDR3,479.0,446.0,,,,True,"128 MB, GDDR3, 64 bit",479 MHz,446 MHz,4 / 2 / 4 / 4,"Mar 1st, 2007",baraazaid/cpu-and-gpu-stats
9b1deea8386b1ae5ae35,Mobility Radeon X2300,M64,2007-03-01,PCIe 1.0 x16,0.0625,DDR2,479.0,392.0,,,,True,"64 MB, DDR2, 64 bit",479 MHz,392 MHz,4 / 2 / 4 / 4,"Mar 1st, 2007",baraazaid/cpu-and-gpu-stats
c55a3736ae012593ddce,Mobility Radeon X2300 HD,M71,2007-03-01,PCIe 1.0 x16,0.25,DDR2,479.0,378.0,,,,True,"256 MB, DDR2, 32 bit",479 MHz,378 MHz,4 / 2 / 4 / 4,"Mar 1st, 2007",baraazaid/cpu-and-gpu-stats
e12dc7b0971e67cb127d,Mobility Radeon X2500,M66,2007-06-01,PCIe 1.0 x16,0.25,DDR2,460.0,400.0,,,,True,"256 MB, DDR2, 128 bit",460 MHz,400 MHz,12 / 5 / 4 / 4,"Jun 1st, 2007",baraazaid/cpu-and-gpu-stats
