source_record_id,name,codename,core_count,thread_count,base_clock_ghz,boost_clock_ghz,socket,process_nm,l3_cache_mb,tdp_w,release_date,has_structured_specs,cores_raw,clock_raw,socket_raw,process_raw,l3_cache_raw,tdp_raw,release_raw,source_dataset
ba294d534c2363cf8ace,Sempron 2600+,Palermo,1,,1.6,1.6,754,90.0,,62.0,2004-08-01,True,1,1600 MHz,Socket 754,90 nm,,62 W,"Aug 1st, 2004",baraazaid/cpu-and-gpu-stats
0289ff8596db82a924cb,Sempron 2650,,,,,,,,,,,False,,,,,,,,baraazaid/cpu-and-gpu-stats
e4ce6339fb2c98057b64,Sempron 2800+,Barton,1,,2.0,2.0,A,130.0,,62.0,2001-01-01,True,1,2000 MHz,Socket A,130 nm,,62 W,"Jan 1st, 2001",baraazaid/cpu-and-gpu-stats
a387285260b86af2d69d,Sempron 2800+,Paris,1,,1.6,1.6,754,130.0,,25.0,2001-01-01,True,1,1600 MHz,Socket 754,130 nm,,25 W,"Jan 1st, 2001",baraazaid/cpu-and-gpu-stats
b38e5b5cf00fb0143b80,Sempron 2800+,Georgetown,1,,1.6,1.6,754,90.0,,62.0,2004-07-28,True,1,1600 MHz,Socket 754,90 nm,,62 W,"Jul 28th, 2004",baraazaid/cpu-and-gpu-stats
68ebabd157a43112b817,Sempron 2800+,Thoroughbred,1,,1.992,1.992,A,130.0,,62.0,2004-07-28,True,1,1992 MHz,Socket A,130 nm,,62 W,"Jul 28th, 2004",baraazaid/cpu-and-gpu-stats
e1b4823be0f75256d724,Sempron 2800+,Sonora,1,,1.6,1.6,754,90.0,,25.0,2004-07-28,True,1,1600 MHz,Socket 754,90 nm,,25 W,"Jul 28th, 2004",baraazaid/cpu-and-gpu-stats
e8ea6fa4d4ed5f2b945c,Sempron 2800+,Thorton,1,,1.992,1.992,A,130.0,,62.0,2004-08-01,True,1,1992 MHz,Socket A,130 nm,,62 W,"Aug 1st, 2004",baraazaid/cpu-and-gpu-stats
eaf1c8df3d33396470e3,Sempron 2800+,Palermo,1,,1.6,1.6,754,90.0,,62.0,2004-08-01,True,1,1600 MHz,Socket 754,90 nm,,62 W,"Aug 1st, 2004",baraazaid/cpu-and-gpu-stats
4ba096d3247e2163270c,Sempron 2800+,Roma,1,,1.6,1.6,754,90.0,,25.0,2005-07-15,True,1,1600 MHz,Socket 754,90 nm,,25 W,"Jul 15th, 2005",baraazaid/cpu-and-gpu-stats
ac720aeb501ed47870db,Sempron 2800+,Manila,1,,1.6,1.6,AM2,90.0,,62.0,2006-05-23,True,1,1600 MHz,Socket AM2,90 nm,,62 W,"May 23rd, 2006",baraazaid/cpu-and-gpu-stats
ec68c9da484d3ece8977,Sempron 3000+,Paris,1,,1.8,1.8,754,130.0,,25.0,2001-01-01,True,1,1800 MHz,Socket 754,130 nm,,25 W,"Jan 1st, 2001",baraazaid/cpu-and-gpu-stats
911e0bca791d9bfe8f27,Sempron 3000+,Georgetown,1,,1.8,1.8,754,90.0,,62.0,2004-07-28,True,1,1800 MHz,Socket 754,90 nm,,62 W,"Jul 28th, 2004",baraazaid/cpu-and-gpu-stats
ec1bf873033e011258e9,Sempron 3000+,Barton,1,,2.0,2.0,A,130.0,,62.0,2004-09-17,True,1,2000 MHz,Socket A,130 nm,,62 W,"Sep 17th, 2004",baraazaid/cpu-and-gpu-stats
6147364938b904162547,Sempron 3000+,Sonora,1,,1.8,1.8,754,90.0,,25.0,2004-11-23,True,1,1800 MHz,Socket 754,90 nm,,25 W,"Nov 23rd, 2004",baraazaid/cpu-and-gpu-stats
49320298233ad5345256,Sempron 3000+,Palermo,1,,1.8,1.8,754,90.0,,62.0,2005-04-01,True,1,1800 MHz,Socket 754,90 nm,,62 W,"Apr 1st, 2005",baraazaid/cpu-and-gpu-stats
7e73f0b8c8d1fd3192d8,Sempron 3000+,Roma,1,,1.8,1.8,754,90.0,,25.0,2005-07-15,True,1,1800 MHz,Socket 754,90 nm,,25 W,"Jul 15th, 2005",baraazaid/cpu-and-gpu-stats
2dabc7eeba4654c810a5,Sempron 3000+,Albany,1,,1.8,1.8,754,90.0,,62.0,2005-07-15,True,1,1800 MHz,Socket 754,90 nm,,62 W,"Jul 15th, 2005",baraazaid/cpu-and-gpu-stats
c32d6f991f62cf4ab18f,Sempron 3000+,Palermo,1,,1.8,1.8,939,90.0,,62.0,2005-10-01,True,1,1800 MHz,Socket 939,90 nm,,62 W,"Oct 1st, 2005",baraazaid/cpu-and-gpu-stats
ab641599e3d8376f0114,Sempron 3000+,Manila,1,,1.6,1.6,AM2,90.0,,62.0,2006-05-23,True,1,1600 MHz,Socket AM2,90 nm,,62 W,"May 23rd, 2006",baraazaid/cpu-and-gpu-stats
67cac6af5fcbbf836192,Sempron 3000+ EE SFF,Manila,1,,1.6,1.6,AM2,90.0,,35.0,2006-05-23,True,1,1600 MHz,Socket AM2,90 nm,,35 W,"May 23rd, 2006",baraazaid/cpu-and-gpu-stats
879c5737900be771e02e,Sempron 3100+,Paris,1,,1.8,1.8,754,130.0,,25.0,2001-01-01,True,1,1800 MHz,Socket 754,130 nm,,25 W,"Jan 1st, 2001",baraazaid/cpu-and-gpu-stats
85119bf8839fa4b5097b,Sempron 3100+,Paris,1,,1.8,1.8,754,130.0,,62.0,2004-07-28,True,1,1800 MHz,Socket 754,130 nm,,62 W,"Jul 28th, 2004",baraazaid/cpu-and-gpu-stats
0e2237f9b2ae42aeebd8,Sempron 3100+,Palermo,1,,1.8,1.8,754,90.0,,62.0,2005-04-01,True,1,1800 MHz,Socket 754,90 nm,,62 W,"Apr 1st, 2005",baraazaid/cpu-and-gpu-stats
6c7cb278d971305f08e8,Sempron 3100+,Georgetown,1,,1.8,1.8,754,90.0,,62.0,2005-05-03,True,1,1800 MHz,Socket 754,90 nm,,62 W,"May 3rd, 2005",baraazaid/cpu-and-gpu-stats
8d5a416a32010d11df6c,Sempron 3100+,Roma,1,,1.8,1.8,754,90.0,,25.0,2005-07-15,True,1,1800 MHz,Socket 754,90 nm,,25 W,"Jul 15th, 2005",baraazaid/cpu-and-gpu-stats
6930a210c65d03c5d2c3,Sempron 3100+,Albany,1,,1.8,1.8,754,90.0,,62.0,2005-07-15,True,1,1800 MHz,Socket 754,90 nm,,62 W,"Jul 15th, 2005",baraazaid/cpu-and-gpu-stats
a05da92e8b8c29676182,Sempron 3200+,Palermo,1,,1.8,1.8,939,90.0,,62.0,2005-10-01,True,1,1800 MHz,Socket 939,90 nm,,62 W,"Oct 1st, 2005",baraazaid/cpu-and-gpu-stats
24b191b6a2898e57d60b,Sempron 3200+,Manila,1,,1.8,1.8,AM2,90.0,,62.0,2006-05-23,True,1,1800 MHz,Socket AM2,90 nm,,62 W,"May 23rd, 2006",baraazaid/cpu-and-gpu-stats
6ac06b790c0fe0bc4a1c,Sempron 3200+ EE SFF,Manila,1,,1.8,1.8,AM2,90.0,,35.0,2006-05-23,True,1,1800 MHz,Socket AM2,90 nm,,35 W,"May 23rd, 2006",baraazaid/cpu-and-gpu-stats
a7e8c061e488f6b08912,Sempron 3300+,Barton,1,,2.2,2.2,A,130.0,,62.0,2001-01-01,True,1,2.2 GHz,Socket A,130 nm,,62 W,"Jan 1st, 2001",baraazaid/cpu-and-gpu-stats
26243eb023618f76ae70,Sempron 3300+,Palermo,1,,2.0,2.0,754,90.0,,62.0,2005-04-01,True,1,2000 MHz,Socket 754,90 nm,,62 W,"Apr 1st, 2005",baraazaid/cpu-and-gpu-stats
e2c83d5612e1805cfbf2,Sempron 3300+,Roma,1,,2.0,2.0,754,90.0,,25.0,2005-07-15,True,1,2000 MHz,Socket 754,90 nm,,25 W,"Jul 15th, 2005",baraazaid/cpu-and-gpu-stats
1550ed75844463277dc9,Sempron 3300+,Albany,1,,2.0,2.0,754,90.0,,62.0,2005-07-15,True,1,2000 MHz,Socket 754,90 nm,,62 W,"Jul 15th, 2005",baraazaid/cpu-and-gpu-stats
3f57fed876d040dbd9d2,Sempron 3300+,Georgetown,1,,2.0,2.0,754,90.0,,62.0,2005-08-19,True,1,2000 MHz,Socket 754,90 nm,,62 W,"Aug 19th, 2005",baraazaid/cpu-and-gpu-stats
7e6e9ad271d72fce5f35,Sempron 3400+,Palermo,1,,2.0,2.0,754,90.0,,62.0,2005-08-01,True,1,2000 MHz,Socket 754,90 nm,,62 W,"Aug 1st, 2005",baraazaid/cpu-and-gpu-stats
c734fe3548715134f7c5,Sempron 3400+,Palermo,1,,2.0,2.0,939,90.0,,62.0,2005-10-01,True,1,2000 MHz,Socket 939,90 nm,,62 W,"Oct 1st, 2005",baraazaid/cpu-and-gpu-stats
d3e0f8ebf859e55ab920,Sempron 3400+,Albany,1,,2.0,2.0,754,90.0,,62.0,2006-01-23,True,1,2000 MHz,Socket 754,90 nm,,62 W,"Jan 23rd, 2006",baraazaid/cpu-and-gpu-stats
2ef64d5ac696dcd0525b,Sempron 3400+,Roma,1,,2.0,2.0,754,90.0,,25.0,2006-05-17,True,1,2000 MHz,Socket 754,90 nm,,25 W,"May 17th, 2006",baraazaid/cpu-and-gpu-stats
5457f5caa0957d19574d,Sempron 3400+,Manila,1,,1.8,1.8,AM2,90.0,,62.0,2006-05-23,True,1,1800 MHz,Socket AM2,90 nm,,62 W,"May 23rd, 2006",baraazaid/cpu-and-gpu-stats
